name,species
1ごう,ネコ
2ごう,リス
3ごう,ゾウ
4ごう,ゴリラ
アーサー,ライオン
アーシンド,ヤギ
アイーダ,カエル
アイソトープ,ウマ
アイダホ,コグマ
アイリス,リス
アグネス,ブタ
アクリル,ヒツジ
アザラク,カンガルー
アセクサ,ネコ
アセロラ,コグマ
アチョット,アヒル
アップリケ,カンガルー
アップル,ハムスター
アデレード,コアラ
アネッサ,コグマ
アポロ,ワシ
アマミン,ウサギ
アラン,ゴリラ
アリア,ニワトリ
アリゲッティ,ワニ
アルベルト,ワニ
あるみ,アリクイ
あんこ,カバ
アンソニー,ウマ
アンチョビ,トリ
アンデス,ワシ
アントニオ,アリクイ
アンヌ,アヒル
いさこ,メウシ
イザベラ,ネズミ
イッテツ,トリ
イノッチ,ブタ
ヴァネッサ,オオカミ
ヴァヤシコフ,ウマ
ウェンディ,ヒツジ
うずまき,トリ
ウズメ,ゴリラ
エイプリル,サル
エーミー,カバ
エクレア,ゾウ
エスメラルダ,カエル
エックスエル,ゾウ
エテキチ,サル
エレフィン,ゾウ
オーロラ,ペンギン
オカッピ,ウマ
おくたろう,タコ
おさい,サイ
オズモンド,コアラ
オパール,ゾウ
オリバー,カバ
オリビア,ネコ
カール,カエル
カサンドラ,ニワトリ
カジロウ,リス
ガチャ,カエル
カックン,カエル
ガビ,コグマ
かぶきち,ネコ
ガブリエル,カバ
カマボコ,ペンギン
カモミ,アヒル
ガリガリ,リス
カルピ,メウシ
カルロス,ヒツジ
ガンテツ,クマ
かんゆ,ネズミ
カンロク,カンガルー
キザノホマレ,ウマ
キッズ,カンガルー
キャビア,ネコ
キャラメル,イヌ
キャロライン,リス
キャンディ,クマ
キャンベラ,コアラ
キンカク,ニワトリ
ギンカク,ワシ
キング,ライオン
きんぞう,コグマ
クスケチャ,ワシ
クッチャネ,ブタ
クマロス,クマ
グミ,リス
グラさん,ライオン
グラハム,ハムスター
クリス,リス
クリスチーヌ,ウサギ
くるぶし,サイ
グルミン,コグマ
グレオ,ブタ
クロー,クマ
クロコ,ワニ
クロベエ,ニワトリ
クワトロ,カエル
ケイン,ダチョウ
ケチャップ,アヒル
けん,オオカミ
ゲンジ,ウサギ
ケンタ,ニワトリ
コージィ,カエル
こまち,アリクイ
ゴメス,トラ
コユキ,トラ
ゴンザレス,カバ
ゴンゾー,コアラ
さくらじま,アリクイ
さすけ,サル
さっち,ネコ
サバンナ,ウマ
サブリナ,ペンギン
サブレ,ウマ
サム,カエル
サラ,ネズミ
サリー,ゾウ
サルモンティ,サル
サンデー,ライオン
サントス,ウサギ
ジーニョ,トリ
ジェーン,ネコ
ジェシカ,シカ
シェリー,サル
シドニー,コアラ
しのぶ,ダチョウ
シベリア,オオカミ
ジミー,ハムスター
しもやけ,ニワトリ
ジャコテン,トリ
ジャスミン,コグマ
ジャック,ネコ
ジャン,ネズミ
シャンティ,ハムスター
シュバルツ,ウマ
ジュペッティ,ヒツジ
ジュリア,ダチョウ
ジュリー,ウマ
ジュン,リス
ショーイ,ペンギン
ショコラ,ネコ
ジョッキー,トリ
ジョン,イヌ
シルエット,リス
シルビア,カンガルー
シルブプレ,ウマ
ジンペイ,ネコ
スクワット,サイ
ストロー,カエル
スナイル,ゴリラ
スパーク,リス
スミ,ヤギ
スミモモ,アヒル
スワンソン,アヒル
セバスチャン,ワシ
セルバンテス,ウシ
セントアロー,ウマ
ダイク,クマ
タイシ,カエル
たいへいた,クマ
タキュ,ダチョウ
タケル,シカ
タコヤ,タコ
タコリーナ,タコ
タツオ,ワニ
タックン,アヒル
たま,ネコ
ためこ,ブタ
たもつ,ゴリラ
ダリー,ブタ
ダルマン,ペンギン
タンタン,クマ
ダンベル,ゴリラ
タンボ,カエル
チーズ,ネズミ
チーフ,オオカミ
ちえり,ブタ
チッチ,サル
ちとせ,ダチョウ
チャーミー,クマ
チャウヤン,クマ
チャコ,カバ
チャス,ネコ
ちゃちゃまる,ヒツジ
チャック,シカ
チャンプ,イヌ
